Satellite,époque,X,Y,Z
G16,2021-12-14 15:50:00,-13320177.290517025,-8183236.651080379,-21780527.887504227
G16,2021-12-14 16:06:40,-11297626.487800047,-10055752.085762957,-22095283.62962639
G16,2021-12-14 16:23:20,-9383110.933289835,-12053334.827915017,-21944468.68968612
G16,2021-12-14 16:40:00,-7621545.635517324,-14124628.09066241,-21331283.83640802
G16,2021-12-14 16:56:40,-6047361.897321291,-16211311.67803358,-20268745.395865507
G16,2021-12-14 17:13:20,-4683129.795104873,-18250666.371528774,-18779410.09665756
G16,2021-12-14 17:30:00,-3538761.242854368,-20178367.863317303,-16894897.970545225
G16,2021-12-14 17:46:40,-2611330.1901314547,-21931378.336160712,-14655223.08630361
G16,2021-12-14 18:03:20,-1885517.1251761867,-23450798.90906596,-12107945.903405095
G16,2021-12-14 18:20:00,-1334655.2969386317,-24684547.754268546,-9307164.825472385
G16,2021-12-14 18:36:40,-922327.3330198084,-25589736.70741981,-6312368.03418563
G16,2021-12-14 18:53:20,-604434.5820134857,-26134633.30036544,-3187169.806297797
G16,2021-12-14 19:10:00,-331638.8209027445,-26300114.711341977,2041.8331821754741
G16,2021-12-14 19:26:40,-52058.05357788177,-26080544.242233217,3187517.183098908
G16,2021-12-14 19:43:20,285914.1228174181,-25484028.448754888,6301586.289587674
G16,2021-12-14 20:00:00,730802.0728883911,-24532042.632437,9278098.628059119
G16,2021-12-14 20:16:40,1325390.4660763647,-23258442.600057136,12053829.986983
G16,2021-12-14 20:33:20,2104344.0936365323,-21707909.915314842,14569826.290591078
G16,2021-12-14 20:50:00,3092220.4699304635,-19933904.864177,16772655.615011748
G16,2021-12-14 21:06:40,4301971.633849797,-17996224.713344663,18615541.825247444
G16,2021-12-14 21:23:20,5734008.095803731,-15958283.444629673,20059355.99603291
G16,2021-12-14 21:40:00,7375870.9834672455,-13884242.13501482,21073444.972800918
G16,2021-12-14 21:56:40,9202529.42397531,-11836125.949766291,21636279.975186747
G16,2021-12-14 22:13:20,11177290.43747483,-9871064.054235298,21735911.951437265
