époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:0:27:30.0000000,4327249.076,538053.2578,4621803.522,-18914.88166,116418.1143,,-6.30496E-06
21:12:14:0:28:0.0000000,4327455.934,538015.7497,4622406.683,-18564.45712,116381.8167,,-6.18815E-06
21:12:14:0:28:30.0000000,4327662.254,537980.7429,4623002.65,-18216.92392,116341.9359,,-6.07231E-06
21:12:14:0:29:0.0000000,4327867.534,537947.6928,4623590.432,-17873.48627,116295.6898,,-5.95783E-06
21:12:14:0:29:30.0000000,4328071.078,537917.371,4624169.106,-17534.63266,116245.5893,,-5.84488E-06
21:12:14:0:30:0.0000000,4328273.955,537888.4346,4624742.011,-17198.39185,116190.5316,,-5.7328E-06
21:12:14:0:30:30.0000000,4328475.259,537862.3124,4625305.068,-16866.83422,116129.67,,-5.62228E-06
21:12:14:0:31:0.0000000,4328675.373,537838.5065,4625860.363,-16539.25247,116064.2248,,-5.51308E-06
21:12:14:0:31:30.0000000,4328873.906,537816.7808,4626406.949,-16216.20539,115994.57,,-5.4054E-06
21:12:14:0:32:0.0000000,4329070.512,537797.6628,4626945.232,-15897.32805,115920.1088,,-5.29911E-06
21:12:14:0:32:30.0000000,4329266.103,537780.5836,4627475.302,-15582.43996,115840.3929,,-5.19415E-06
21:12:14:0:33:0.0000000,4329461.145,537765.826,4627997.631,-15270.84644,115757.3457,,-5.09028E-06
21:12:14:0:33:30.0000000,4329653.462,537753.7845,4628510.373,-14964.70239,115669.5045,,-4.98823E-06
21:12:14:0:34:0.0000000,4329844.125,537743.1503,4629015.708,-14662.53821,115576.4407,,-4.88751E-06
21:12:14:0:34:30.0000000,4330033.956,537735.9027,4629511.621,-14364.56478,115479.2404,,-4.78819E-06
21:12:14:0:35:0.0000000,4330222.345,537729.9985,4629999.678,-14070.53549,115379.0926,,-4.69018E-06
21:12:14:0:35:30.0000000,4330409.474,537726.8771,4630479.333,-13780.74814,115273.7029,,-4.59358E-06
21:12:14:0:36:0.0000000,4330594.976,537726.3519,4630950.541,-13495.00775,115166.343,,-4.49834E-06
21:12:14:0:36:30.0000000,4330778.741,537727.855,4631412.578,-13214.2473,115054.0751,,-4.40475E-06
21:12:14:0:37:0.0000000,4330961.807,537731.4728,4631868.447,-12936.03628,114937.7862,,-4.31201E-06
21:12:14:0:37:30.0000000,4331142.369,537737.6961,4632314.036,-12663.45116,114817.9372,,-4.22115E-06
21:12:14:0:38:0.0000000,4331321.889,537745.304,4632750.599,-12395.59728,114694.4966,,-4.13187E-06
21:12:14:0:38:30.0000000,4331499.921,537756.3211,4633180.46,-12130.76982,114568.2833,,-4.04359E-06
21:12:14:0:39:0.0000000,4331676.131,537768.7712,4633602.069,-11870.49451,114437.7333,,-3.95683E-06
21:12:14:0:39:30.0000000,4331851.718,537784.063,4634013.941,-11614.51657,114304.0607,,-3.87151E-06
