époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:2:2:30.0000000,4334864.079,561967.3913,4653053.703,3135.965493,71508.62878,,1.04532E-06
21:12:14:2:3:0.0000000,4334683.011,561996.9144,4652908.626,3015.739741,71196.04562,,1.00525E-06
21:12:14:2:3:30.0000000,4334501.266,562026.5365,4652761.582,2894.50951,70887.9556,,9.64837E-07
21:12:14:2:4:0.0000000,4334317.38,562055.1604,4652612.445,2770.852163,70582.8655,,9.23617E-07
21:12:14:2:4:30.0000000,4334133.611,562082.5694,4652462.099,2646.973453,70281.43146,,8.82324E-07
21:12:14:2:5:0.0000000,4333948.629,562109.3198,4652309.913,2521.693591,69983.7795,,8.40565E-07
21:12:14:2:5:30.0000000,4333761.902,562135.5433,4652156.341,2394.905855,69689.44424,,7.98302E-07
21:12:14:2:6:0.0000000,4333574.506,562160.3577,4652001.456,2267.034477,69398.96859,,7.55678E-07
21:12:14:2:6:30.0000000,4333388.149,562184.3527,4651844.964,2139.073786,69111.88364,,7.13025E-07
21:12:14:2:7:0.0000000,4333198.929,562207.5924,4651686.005,2008.315083,68828.36527,,6.69438E-07
21:12:14:2:7:30.0000000,4333008.313,562230.45,4651528.568,1877.477121,68548.68709,,6.25826E-07
21:12:14:2:8:0.0000000,4332819.512,562251.9333,4651368.705,1746.594719,68272.29501,,5.82198E-07
21:12:14:2:8:30.0000000,4332629.233,562272.3911,4651205.889,1613.328044,67999.3258,,5.37776E-07
21:12:14:2:9:0.0000000,4332439.104,562292.9088,4651045.731,1481.316582,67730.83789,,4.93772E-07
21:12:14:2:9:30.0000000,4334343.539,564646.7023,4657360.573,5616.937558,68884.95302,,1.87231E-06
21:12:14:2:10:0.0000000,4335183.81,564188.7729,4662826.994,8691.967016,67944.45669,,2.89732E-06
21:12:14:2:10:30.0000000,4333927.898,564747.3936,4657046.422,5360.972548,68410.27176,,1.78699E-06
21:12:14:2:11:0.0000000,4333718.892,564796.4447,4656886.596,5230.987322,68178.48107,,1.74366E-06
21:12:14:2:11:30.0000000,4334790.212,564311.6578,4663204.701,8796.712995,67061.62166,,2.93224E-06
21:12:14:2:12:0.0000000,4334662.251,564353.6078,4663333.209,8833.211145,66770.42336,,2.9444E-06
21:12:14:2:12:30.0000000,4334536.053,564395.8452,4663463.217,8870.811252,66480.2052,,2.95694E-06
21:12:14:2:13:0.0000000,4334409.326,564438.2791,4663592.992,8907.440499,66191.05528,,2.96915E-06
21:12:14:2:13:30.0000000,4334285.517,564481.3301,4663724.893,8945.988365,65904.02288,,2.982E-06
21:12:14:2:14:0.0000000,4334160.928,564525.1793,4663856.027,8983.027739,65618.03695,,2.99434E-06
21:12:14:2:14:30.0000000,4338306.137,563369.512,4666271.902,12390.44363,65080.10352,,4.13015E-06
21:12:14:2:15:0.0000000,4333917.381,564614.2375,4664122.425,9060.66195,65049.34676,,3.02022E-06
21:12:14:2:15:30.0000000,4337927.798,563520.7262,4666512.839,12375.88236,64531.55342,,4.12529E-06
21:12:14:2:16:0.0000000,4337739.448,563597.1015,4666631.666,12367.66286,64258.83888,,4.12255E-06
21:12:14:2:16:30.0000000,4337551.603,563673.6659,4666749.961,12358.89926,63987.72808,,4.11963E-06
21:12:14:2:17:0.0000000,4337363.948,563750.9136,4666868.681,12350.17801,63717.67785,,4.11673E-06
21:12:14:2:17:30.0000000,4337177.305,563828.9274,4666985.226,12340.48838,63449.11555,,4.1135E-06
21:12:14:2:18:0.0000000,4336990.091,563906.8154,4667102.546,12330.39311,63181.87117,,4.11013E-06
21:12:14:2:18:30.0000000,4336803.197,563984.8073,4667216.927,12318.74465,62915.14691,,4.10625E-06
21:12:14:2:19:0.0000000,4336617.336,564063.6693,4667331.308,12306.72981,62650.55158,,4.10224E-06
21:12:14:2:19:30.0000000,4336430.994,564142.5362,4667443.982,12293.99874,62386.67304,,4.098E-06
21:12:14:2:20:0.0000000,4336244.212,564222.1853,4667554.449,12279.42685,62123.81265,,4.09314E-06
21:12:14:2:20:30.0000000,4336058.501,564302.1227,4667664.73,12265.13218,61862.95639,,4.08838E-06
21:12:14:2:21:0.0000000,4335873.135,564382.5461,4667773.273,12249.61225,61603.39359,,4.0832E-06
21:12:14:2:21:30.0000000,4335687.868,564463.5192,4667881.56,12233.91369,61344.31578,,4.07797E-06
21:12:14:2:22:0.0000000,4335501.702,564544.5791,4667985.35,12215.06804,61086.94132,,4.07169E-06
21:12:14:2:22:30.0000000,4335316.414,564626.0746,4668090.48,12197.16316,60830.29835,,4.06572E-06
21:12:14:2:23:0.0000000,4335130.529,564708.1152,4668191.221,12176.44492,60576.02956,,4.05881E-06
21:12:14:2:23:30.0000000,4334944.204,564789.9798,4668287.987,12153.46032,60322.1241,,4.05115E-06
21:12:14:2:24:0.0000000,4334760.286,564873.5087,4668389.709,12133.57618,60070.11113,,4.04453E-06
21:12:14:2:24:30.0000000,4334574.248,564956.4713,4668485.124,12109.43907,59818.7866,,4.03648E-06
21:12:14:2:25:0.0000000,4334387.549,565039.9722,4668576.532,12082.76107,59569.11305,,4.02759E-06
21:12:14:2:25:30.0000000,4334201.094,565123.7358,4668667.03,12055.26506,59321.1918,,4.01842E-06
21:12:14:2:26:0.0000000,4334015.029,565208.3941,4668756.595,12027.63389,59073.95342,,4.00921E-06
21:12:14:2:26:30.0000000,4333828.469,565292.7738,4668842.164,11997.43726,58827.85849,,3.99915E-06
21:12:14:2:27:0.0000000,4333641.847,565377.6016,4668924.025,11965.04582,58583.78418,,3.98835E-06
21:12:14:2:27:30.0000000,4333453.501,565462.8755,4669003.377,11930.3754,58340.85652,,3.97679E-06
21:12:14:2:28:0.0000000,4333265.923,565548.6685,4669080.566,11894.99095,58098.79591,,3.965E-06
21:12:14:2:28:30.0000000,4333077.194,565634.477,4669154.522,11857.14306,57858.35074,,3.95238E-06
21:12:14:2:29:0.0000000,4332887.676,565720.3705,4669224.185,11816.63642,57618.48591,,3.93888E-06
21:12:14:2:29:30.0000000,4332698.647,565807.2736,4669290.533,11774.67999,57381.90533,,3.92489E-06
21:12:14:2:30:0.0000000,4332508.58,565893.9761,4669354.848,11731.02332,57145.01519,,3.91034E-06
21:12:14:2:30:30.0000000,4332317.44,565980.7872,4669414.534,11684.44294,56910.5257,,3.89481E-06
21:12:14:2:31:0.0000000,4332125.557,566067.7282,4669470.611,11635.36398,56676.60809,,3.87845E-06
21:12:14:2:31:30.0000000,4331931.873,566154.9323,4669521.075,11582.63744,56444.55651,,3.86088E-06
21:12:14:2:32:0.0000000,4331739.436,566242.5217,4669569.496,11529.5647,56213.3195,,3.84319E-06
21:12:14:2:32:30.0000000,4331544.878,566329.9692,4669613.155,11472.96471,55984.22898,,3.82432E-06
21:12:14:2:33:0.0000000,4331349.472,566417.7241,4669653.169,11413.79685,55756.25533,,3.8046E-06
21:12:14:2:33:30.0000000,4331153.874,566505.8772,4669689.243,11352.50281,55529.48314,,3.78417E-06
21:12:14:2:34:0.0000000,4330956.744,566593.5123,4669719.804,11288.06987,55304.6513,,3.76269E-06
21:12:14:2:34:30.0000000,4330758.571,566681.4742,4669746.156,11220.43434,55081.00443,,3.74014E-06
21:12:14:2:35:0.0000000,4330559.015,566769.1167,4669767.118,11149.69933,54858.57089,,3.71657E-06
21:12:14:2:35:30.0000000,4330358.673,566857.3357,4669783.911,11076.6129,54637.83951,,3.6922E-06
21:12:14:2:36:0.0000000,4330157.035,566945.0055,4669796.04,11000.1784,54418.45411,,3.66673E-06
21:12:14:2:36:30.0000000,4329954.124,567032.6318,4669802.77,10920.51038,54199.67018,,3.64017E-06
21:12:14:2:37:0.0000000,4329750.374,567120.5259,4669804.883,10838.19467,53983.97435,,3.61273E-06
21:12:14:2:37:30.0000000,4329545.336,567207.9862,4669801.975,10752.73592,53768.21568,,3.58425E-06
21:12:14:2:38:0.0000000,4329338.775,567295.5575,4669792.955,10663.59351,53555.04974,,3.55453E-06
21:12:14:2:38:30.0000000,4329131.111,567382.6741,4669779.502,10571.47569,53342.17586,,3.52383E-06
21:12:14:2:39:0.0000000,4328920.939,567469.1182,4669759.39,10474.90684,53131.11153,,3.49164E-06
21:12:14:2:39:30.0000000,4328710.788,567555.821,4669734.733,10376.15798,52922.37775,,3.45872E-06
21:12:14:2:40:0.0000000,4328498.981,567641.7123,4669704.124,10273.66328,52714.13199,,3.42455E-06
21:12:14:2:40:30.0000000,4328285.761,567727.8748,4669667.999,10167.62915,52507.87997,,3.38921E-06
21:12:14:2:41:0.0000000,4328071.656,567813.3014,4669627.176,10058.79153,52302.24864,,3.35293E-06
21:12:14:2:41:30.0000000,4327855.412,567898.2438,4669578.368,9945.149332,52098.66936,,3.31505E-06
21:12:14:2:42:0.0000000,4327637.561,567982.0569,4669525.382,9828.541534,51896.09844,,3.27618E-06
21:12:14:2:42:30.0000000,4327419.558,568066.5313,4669466.683,9708.966803,51695.64213,,3.23632E-06
21:12:14:2:43:0.0000000,4327199.934,568149.7,4669401.858,9585.561988,51496.39421,,3.19519E-06
21:12:14:2:43:30.0000000,4326978.125,568232.6371,4669330.798,9458.12787,51297.70048,,3.15271E-06
21:12:14:2:44:0.0000000,4326755.719,568315.1472,4669254.181,9327.825478,51101.72673,,3.10928E-06
21:12:14:2:44:30.0000000,4326531.582,568396.4438,4669171.758,9193.546188,50905.89636,,3.06452E-06
21:12:14:2:45:0.0000000,4326306.559,568477.5624,4669083.706,9056.209532,50711.86682,,3.01874E-06
21:12:14:2:45:30.0000000,4326080.063,568557.228,4668989.089,8914.674942,50519.50971,,2.97156E-06
21:12:14:2:46:0.0000000,4325852.887,568636.8144,4668888.904,8770.544703,50327.54352,,2.92351E-06
21:12:14:2:46:30.0000000,4325623.284,568714.9943,4668782.696,8621.742566,50136.93028,,2.87391E-06
21:12:14:2:47:0.0000000,4325393.822,568792.8563,4668671.602,8470.813829,49948.51546,,2.8236E-06
21:12:14:2:47:30.0000000,4325162.555,568869.4508,4668553.266,8315.634511,49760.57354,,2.77188E-06
21:12:14:2:48:0.0000000,4324930.541,568945.4335,4668429.834,8157.289393,49574.69006,,2.7191E-06
21:12:14:2:48:30.0000000,4324697.28,569020.1055,4668300.779,7995.468362,49388.7026,,2.66516E-06
21:12:14:2:49:0.0000000,4324463.476,569094.3139,4668165.689,7830.607351,49205.31716,,2.6102E-06
21:12:14:2:49:30.0000000,4324227.977,569167.104,4668025.508,7662.327868,49022.3405,,2.55411E-06
21:12:14:2:50:0.0000000,4323992.1,569239.2235,4667878.474,7490.495108,48840.76542,,2.49683E-06
21:12:14:2:50:30.0000000,4323755.163,569309.8423,4667726.679,7315.624383,48659.67443,,2.43854E-06
21:12:14:2:51:0.0000000,4323517.692,569379.6062,4667569.954,7138.227873,48480.23523,,2.37941E-06
21:12:14:2:51:30.0000000,4323279.332,569448.216,4667407.589,6957.501967,48301.77755,,2.31917E-06
21:12:14:2:52:0.0000000,4323041.718,569515.8212,4667240.315,6774.660707,48124.34042,,2.25822E-06
21:12:14:2:52:30.0000000,4322801.764,569581.8906,4667066.824,6587.363555,47947.01818,,2.19579E-06
21:12:14:2:53:0.0000000,4322562.743,569647.605,4666889.786,6399.013671,47772.01067,,2.133E-06
21:12:14:2:53:30.0000000,4322322.355,569711.4633,4666706.701,6206.81058,47596.73249,,2.06894E-06
21:12:14:2:54:0.0000000,4322083.197,569774.8031,4666519.792,6013.377932,47422.98266,,2.00446E-06
21:12:14:2:54:30.0000000,4321841.584,569836.0851,4666326.723,5815.335619,47250.30141,,1.93845E-06
21:12:14:2:55:0.0000000,4321601.22,569896.1652,4666129.176,5615.834835,47077.30491,,1.87194E-06
21:12:14:2:55:30.0000000,4321360.822,569955.79,4665927.88,5414.335269,46905.98508,,1.80478E-06
21:12:14:2:56:0.0000000,4321120.418,570013.9102,4665722.541,5210.813788,46735.36595,,1.73694E-06
21:12:14:2:56:30.0000000,4320880.026,570070.3911,4665512.042,5004.721519,46564.61741,,1.66824E-06
21:12:14:2:57:0.0000000,4320639.878,570125.8293,4665297.465,4796.477681,46395.01325,,1.59883E-06
21:12:14:2:57:30.0000000,4320399.766,570180.0303,4665078.905,4586.248975,46225.88973,,1.52875E-06
21:12:14:2:58:0.0000000,4320160.572,570232.9369,4664857.25,4374.931131,46057.25662,,1.45831E-06
21:12:14:2:58:30.0000000,4319921.563,570285.3824,4664631.556,4161.450938,45889.22902,,1.38715E-06
21:12:14:2:59:0.0000000,4305447.096,564540.9873,4655207.48,-8128.857856,50111.14676,,-2.70962E-06
21:12:14:2:59:30.0000000,4305485.755,564642.1662,4655207.352,-8100.43285,49831.40959,,-2.70014E-06
21:12:14:3:0:0.0000000,4305522.824,564743.0008,4655201.714,-8075.444851,49552.78052,,-2.69181E-06
21:12:14:3:0:30.0000000,4305560.062,564845.1837,4655191.944,-8052.313572,49275.72577,,-2.6841E-06
21:12:14:3:1:0.0000000,4305596.521,564947.053,4655177.186,-8031.564954,49000.0368,,-2.67719E-06
21:12:14:3:1:30.0000000,4305632.883,565049.9418,4655156.721,-8013.481522,48724.83727,,-2.67116E-06
21:12:14:3:2:0.0000000,4305667.917,565152.7721,4655131.646,-7997.953256,48451.44875,,-2.66598E-06
21:12:14:3:2:30.0000000,4305701.736,565255.4718,4655101.408,-7985.416767,48179.88104,,-2.66181E-06
21:12:14:3:3:0.0000000,4305736.924,565359.4588,4655066.632,-7974.174869,47908.11828,,-2.65806E-06
21:12:14:3:3:30.0000000,4305771.009,565463.1617,4655027.215,-7965.594859,47638.73235,,-2.6552E-06
21:12:14:3:4:0.0000000,4305803.729,565566.7578,4654982.249,-7960.339877,47370.07553,,-2.65345E-06
21:12:14:3:4:30.0000000,4305836.744,565670.8852,4654933.69,-7956.31605,47102.95163,,-2.65211E-06
21:12:14:3:5:0.0000000,4305869.332,565775.914,4654880.591,-7954.718372,46836.97471,,-2.65157E-06
21:12:14:3:5:30.0000000,4305901.398,565880.3432,4654821.628,-7955.970186,46571.63433,,-2.65199E-06
21:12:14:3:6:0.0000000,4305933.579,565985.054,4654758.346,-7959.176111,46308.18026,,-2.65306E-06
21:12:14:3:6:30.0000000,4305963.839,566089.0801,4654690.886,-7964.880709,46046.37684,,-2.65496E-06
21:12:14:3:7:0.0000000,4305995.609,566194.256,4654619.495,-7971.922356,45783.90928,,-2.65731E-06
21:12:14:3:7:30.0000000,4306025.323,566299.7412,4654542.277,-7982.480272,45523.91102,,-2.66083E-06
21:12:14:3:8:0.0000000,4306056.366,566404.8861,4654462.226,-7993.904553,45264.27027,,-2.66463E-06
21:12:14:3:8:30.0000000,4306086.546,566509.4894,4654376.451,-8007.990223,45006.60221,,-2.66933E-06
21:12:14:3:9:0.0000000,4306114.965,566614.2607,4654286.989,-8024.826212,44749.46406,,-2.67494E-06
21:12:14:3:9:30.0000000,4306144.355,566719.0933,4654193.572,-8042.844933,44494.18346,,-2.68095E-06
21:12:14:3:10:0.0000000,4306174.082,566824.2484,4654096.238,-8062.608743,44238.64209,,-2.68754E-06
21:12:14:3:10:30.0000000,4306203.052,566929.4028,4653994.416,-8084.858623,43984.7799,,-2.69495E-06
21:12:14:3:11:0.0000000,4306231.809,567033.8642,4653889.982,-8108.138518,43732.41588,,-2.70271E-06
21:12:14:3:11:30.0000000,4306260.469,567138.9461,4653779.973,-8134.428463,43480.97765,,-2.71148E-06
21:12:14:3:12:0.0000000,4306289.104,567243.4659,4653667.091,-8161.831849,43229.818,,-2.72061E-06
21:12:14:3:12:30.0000000,4306317.295,567348.0584,4653550.528,-8191.065914,42979.94981,,-2.73036E-06
21:12:14:3:13:0.0000000,4306345.392,567452.3762,4653429.542,-8222.679465,42731.09742,,-2.74089E-06
21:12:14:3:13:30.0000000,4321290.12,558893.2025,4657627.935,3682.794479,35121.33586,,1.2276E-06
21:12:14:3:14:0.0000000,4321402.041,559009.9933,4657564.92,3709.912636,34795.65219,,1.23664E-06
21:12:14:3:14:30.0000000,4321510.961,559127.0557,4657496.884,3732.95482,34471.46673,,1.24432E-06
21:12:14:3:15:0.0000000,4321619.587,559245.5313,4657424.35,3753.710314,34147.34694,,1.25124E-06
21:12:14:3:15:30.0000000,4321726.409,559364.624,4657347.58,3771.254286,33824.13889,,1.25708E-06
21:12:14:3:16:0.0000000,4321831.618,559484.3915,4657265.588,3785.396945,33503.72949,,1.2618E-06
21:12:14:3:16:30.0000000,4321935.752,559605.1188,4657179.575,3796.969662,33182.27751,,1.26566E-06
21:12:14:3:17:0.0000000,4306574.215,568283.1029,4652351.213,-8523.557959,40770.47973,,-2.84119E-06
21:12:14:3:17:30.0000000,4306604.828,568386.0372,4652203.209,-8566.290464,40527.49492,,-2.85543E-06
21:12:14:3:18:0.0000000,4306634.546,568489.2187,4652052.81,-8610.711284,40287.11147,,-2.87024E-06
21:12:14:3:18:30.0000000,4306664.387,568591.5304,4651899.317,-8656.53875,40046.07958,,-2.88551E-06
21:12:14:3:19:0.0000000,4306694.628,568693.9345,4651743.315,-8703.531229,39806.32801,,-2.90118E-06
21:12:14:3:19:30.0000000,4306725.562,568795.8853,4651585.652,-8750.786071,39566.60996,,-2.91693E-06
21:12:14:3:20:0.0000000,4306757.485,568898.5057,4651425.271,-8798.795585,39327.11289,,-2.93293E-06
21:12:14:3:20:30.0000000,4306788.752,569000.3146,4651262.139,-8848.71699,39088.58071,,-2.94957E-06
21:12:14:3:21:0.0000000,4306821.246,569101.8928,4651097.686,-8898.612956,38850.38311,,-2.9662E-06
21:12:14:3:21:30.0000000,4306854.397,569203.7009,4650931.517,-8948.784285,38612.44593,,-2.98293E-06
21:12:14:3:22:0.0000000,4306887.211,569305.3117,4650762.717,-9000.972739,38375.84142,,-3.00032E-06
21:12:14:3:22:30.0000000,4306921.245,569406.4979,4650591.893,-9053.036461,38138.12923,,-3.01768E-06
21:12:14:3:23:0.0000000,4306955.097,569507.6182,4650419.491,-9106.167976,37901.77374,,-3.03539E-06
21:12:14:3:23:30.0000000,4306989.809,569609.0313,4650245.29,-9159.879492,37665.66826,,-3.05329E-06
21:12:14:3:24:0.0000000,4307026.461,569709.4952,4650070.204,-9212.885529,37429.1086,,-3.07096E-06
21:12:14:3:24:30.0000000,4307063.332,569809.7792,4649893.729,-9266.429439,37191.54424,,-3.08881E-06
21:12:14:3:25:0.0000000,4307101.182,569910.1247,4649715.161,-9320.721636,36955.50665,,-3.10691E-06
21:12:14:3:25:30.0000000,4307138.76,570010.4481,4649535.297,-9375.634234,36719.88009,,-3.12521E-06
21:12:14:3:26:0.0000000,4307178.092,570110.3293,4649354.544,-9430.24595,36483.25977,,-3.14342E-06
21:12:14:3:26:30.0000000,4307217.198,570210.6314,4649171.024,-9486.648555,36247.6555,,-3.16222E-06
21:12:14:3:27:0.0000000,4307258.081,570310.3649,4648988.689,-9541.294259,36011.104,,-3.18043E-06
21:12:14:3:27:30.0000000,4323843.775,562459.156,4654298.55,3329.78287,26363.00811,,1.10993E-06
21:12:14:3:28:0.0000000,4323914.011,562597.3458,4654129.669,3279.481932,26062.24499,,1.09316E-06
21:12:14:3:28:30.0000000,4323982.905,562735.7633,4653958.662,3227.321726,25762.36058,,1.07577E-06
21:12:14:3:29:0.0000000,4324050.193,562874.7888,4653785.329,3173.078398,25462.98798,,1.05769E-06
21:12:14:3:29:30.0000000,4324116.525,563014.6232,4653609.191,3116.475267,25164.09298,,1.03883E-06
21:12:14:3:30:0.0000000,4324181.368,563154.7861,4653430.565,3058.065558,24866.28807,,1.01936E-06
21:12:14:3:30:30.0000000,4324244.981,563295.3977,4653250.922,2998.177839,24569.30593,,9.99393E-07
21:12:14:3:31:0.0000000,4307612.955,571105.6903,4647486.939,-9988.601453,34119.99003,,-3.32953E-06
21:12:14:3:31:30.0000000,4324368.274,563579.1307,4652883.011,2871.810385,23975.97703,,9.5727E-07
21:12:14:3:32:0.0000000,4324427.222,563721.5304,4652694.97,2804.895251,23680.68916,,9.34965E-07
21:12:14:3:32:30.0000000,4324485.69,563865.1454,4652505.483,2736.973391,23385.64358,,9.12324E-07
21:12:14:3:33:0.0000000,4324543.073,564008.8967,4652314.793,2667.792184,23090.82424,,8.89264E-07
21:12:14:3:33:30.0000000,4324598.439,564153.1891,4652121.571,2596.096352,22796.42353,,8.65365E-07
21:12:14:3:34:0.0000000,4324652.699,564298.5296,4651926.377,2522.702205,22502.51696,,8.40901E-07
21:12:14:3:34:30.0000000,4324706.09,564443.7809,4651729.801,2448.098302,22208.81011,,8.16033E-07
21:12:14:3:35:0.0000000,4324756.764,564589.9878,4651530.379,2370.607749,21916.12657,,7.90203E-07
21:12:14:3:35:30.0000000,4324807.561,564736.3674,4651330.581,2292.692375,21624.43521,,7.64231E-07
21:12:14:3:36:0.0000000,4324856.974,564884.0713,4651129.111,2213.321699,21332.06065,,7.37774E-07
21:12:14:3:36:30.0000000,4324904.327,565031.7409,4650924.673,2130.962803,21040.50358,,7.10321E-07
21:12:14:3:37:0.0000000,4324951.265,565179.9138,4650719.967,2048.365258,20748.92366,,6.82788E-07
21:12:14:3:37:30.0000000,4324997.031,565328.3954,4650514.695,1964.740605,20457.67686,,6.54914E-07
21:12:14:3:38:0.0000000,4325040.74,565478.0237,4650307.243,1878.926287,20167.20325,,6.26309E-07
21:12:14:3:38:30.0000000,4325083.555,565628.1298,4650097.536,1791.362193,19876.99373,,5.97121E-07
21:12:14:3:39:0.0000000,4325125.042,565778.2343,4649887.92,1703.203819,19586.85194,,5.67735E-07
21:12:14:3:39:30.0000000,4325165.469,565929.1583,4649676.113,1613.118857,19297.05362,,5.37706E-07
21:12:14:3:40:0.0000000,4325204.201,566080.2044,4649463.76,1522.043447,19007.87158,,5.07348E-07
21:12:14:3:40:30.0000000,4325241.593,566231.9236,4649249.982,1429.276369,18718.63597,,4.76425E-07
21:12:14:3:41:0.0000000,4325278.042,566384.2774,4649035.365,1335.728965,18429.82687,,4.45243E-07
21:12:14:3:41:30.0000000,4325313.236,566537.1192,4648819.546,1240.636635,18141.5092,,4.13546E-07
21:12:14:3:42:0.0000000,4325347.472,566689.8736,4648603.077,1144.893599,17853.44681,,3.81631E-07
21:12:14:3:42:30.0000000,4325379.415,566843.751,4648385.121,1047.247549,17565.74194,,3.49083E-07
21:12:14:3:43:0.0000000,4325410.488,566997.6498,4648166.354,948.3662235,17278.13782,,3.16122E-07
21:12:14:3:43:30.0000000,4325441.65,567152.1715,4647948.589,850.396194,16990.9846,,2.83465E-07
21:12:14:3:44:0.0000000,4325469.541,567306.9001,4647727.442,748.9195892,16704.4991,,2.4964E-07
21:12:14:3:44:30.0000000,4325497.562,567462.2561,4647507.513,647.9654385,16417.66109,,2.15988E-07
21:12:14:3:45:0.0000000,4325523.107,567618.397,4647285.564,544.666889,16131.75072,,1.81556E-07
21:12:14:3:45:30.0000000,4325548.647,567774.2325,4647064.101,441.7709864,15846.52714,,1.47257E-07
21:12:14:3:46:0.0000000,4325571.734,567931.0408,4646840.578,336.5108472,15560.99631,,1.1217E-07
21:12:14:3:46:30.0000000,4325594.627,568087.7607,4646617.592,231.4727662,15276.62717,,7.71576E-08
21:12:14:3:47:0.0000000,4325615.853,568244.9626,4646393.98,125.3092083,14992.90983,,4.17697E-08
21:12:14:3:47:30.0000000,4325635.098,568402.5998,4646169.466,17.77204097,14709.11064,,5.92401E-09
21:12:14:3:48:0.0000000,4325653.775,568560.3105,4645944.363,-90.43415194,14426.14384,,-3.01447E-08
21:12:14:3:48:30.0000000,4325670.336,568718.7939,4645718.973,-199.7160672,14144.41401,,-6.6572E-08
21:12:14:3:49:0.0000000,4325685.904,568877.7235,4645493.116,-309.8322944,13863.36052,,-1.03277E-07
21:12:14:3:49:30.0000000,4325700.716,569036.4459,4645267.434,-420.2400555,13583.01006,,-1.4008E-07
21:12:14:3:50:0.0000000,4325714.264,569195.856,4645041.328,-531.1917038,13303.70055,,-1.77064E-07
21:12:14:3:50:30.0000000,4325291.465,569608.5624,4643748.757,-1507.44442,12982.96803,,-5.02481E-07
21:12:14:3:51:0.0000000,4325267.156,569788.4653,4643437.745,-1688.718471,12696.81756,,-5.62906E-07
21:12:14:3:51:30.0000000,4325241.281,569969.6238,4643124.956,-1871.832015,12410.99919,,-6.23944E-07
21:12:14:3:52:0.0000000,4325212.968,570151.0309,4642811.631,-2056.40038,12125.3384,,-6.85467E-07
21:12:14:3:52:30.0000000,4325183.301,570332.964,4642496.714,-2242.530337,11840.4534,,-7.4751E-07
21:12:14:3:53:0.0000000,4323034.525,571114.7194,4635123.404,-7701.71701,13696.98353,,-2.56724E-06
21:12:14:3:53:30.0000000,4323106.011,571273.0507,4635062.197,-7691.834645,13351.69782,,-2.56394E-06
21:12:14:3:54:0.0000000,4323174.604,571432.7068,4634998.141,-7684.801999,13005.43937,,-2.5616E-06
21:12:14:3:54:30.0000000,4323239.701,571592.5238,4634931.723,-7680.174797,12659.43484,,-2.56006E-06
21:12:14:3:55:0.0000000,4323300.924,571753.8713,4634862.015,-7679.043364,12313.014,,-2.55968E-06
21:12:14:3:55:30.0000000,4323357.734,571915.0123,4634789.22,-7681.353441,11966.22151,,-2.56045E-06
21:12:14:3:56:0.0000000,4323411.807,572077.9785,4634714.939,-7685.458649,11619.25416,,-2.56182E-06
21:12:14:3:56:30.0000000,4323462.102,572240.54,4634636.766,-7692.938599,11272.51784,,-2.56431E-06
21:12:14:3:57:0.0000000,4323508.388,572404.2954,4634555.981,-7703.559474,10927.16842,,-2.56785E-06
21:12:14:3:57:30.0000000,4323550.198,572568.5769,4634472.014,-7717.892393,10582.04681,,-2.57263E-06
21:12:14:3:58:0.0000000,4323588.35,572733.584,4634385.122,-7734.954508,10238.04871,,-2.57832E-06
21:12:14:3:58:30.0000000,4323623.049,572899.8676,4634294.849,-7755.259819,9895.403335,,-2.58509E-06
21:12:14:3:59:0.0000000,4323653.175,573065.78,4634202.444,-7778.437219,9554.678775,,-2.59281E-06
21:12:14:3:59:30.0000000,4347650.708,577621.588,4641821.63,9353.530314,35669.49634,,3.11784E-06
21:12:14:4:0:0.0000000,4347473.706,577803.1536,4641624.17,9179.306428,35366.97866,,3.05977E-06
21:12:14:4:0:30.0000000,4347291.982,577985.821,4641422.577,9000.979491,35068.53699,,3.00033E-06
21:12:14:4:1:0.0000000,4347105.069,578167.8039,4641216.955,8818.267657,34775.46269,,2.93942E-06
21:12:14:4:1:30.0000000,4346912.02,578350.1256,4641006.347,8630.454143,34484.43629,,2.87682E-06
21:12:14:4:2:0.0000000,4346714.461,578533.1498,4640792.019,8439.030719,34199.60919,,2.81301E-06
21:12:14:4:2:30.0000000,4346511.745,578715.8429,4640573.739,8243.531257,33918.1883,,2.74784E-06
21:12:14:4:3:0.0000000,4346303.163,578899.1193,4640352.055,8043.685413,33640.57916,,2.68123E-06
21:12:14:4:3:30.0000000,4346090.117,579081.4614,4640126.958,7840.348281,33367.88414,,2.61345E-06
21:12:14:4:4:0.0000000,4345871.424,579264.7878,4639898.123,7632.623886,33100.12705,,2.54421E-06
21:12:14:4:4:30.0000000,4345647.792,579447.3917,4639665.071,7420.830123,32837.87219,,2.47361E-06
21:12:14:4:5:0.0000000,4345419.121,579630.4124,4639429.374,7205.575353,32579.11022,,2.40186E-06
21:12:14:4:5:30.0000000,4345184.976,579813.4168,4639188.581,6985.383009,32325.77451,,2.32846E-06
21:12:14:4:6:0.0000000,4344945.92,579996.1127,4638944.877,6761.609582,32077.53057,,2.25387E-06
21:12:14:4:6:30.0000000,4344701.116,580178.408,4638697.817,6534.046458,31833.09908,,2.17802E-06
21:12:14:4:7:0.0000000,4344452.591,580360.7803,4638446.987,6302.89391,31595.78604,,2.10096E-06
21:12:14:4:7:30.0000000,4347327.283,577763.5594,4640697.146,9256.293476,32087.50993,,3.08543E-06
